euctr_id,title,reg_date,other_id,field,provenance
2011-004463-69,Investigation of Radiation Retinopathy (RadiRet Study),2012-08-03,NA,US NCT number,protocol
2011-004463-69,Investigation of Radiation Retinopathy (RadiRet Study),2012-08-03,DRKS 00003246,other,protocol
2011-004463-69,Investigation of Radiation Retinopathy (RadiRet Study),2012-08-03,NA,US NCT number,results
2011-004463-69,Investigation of Radiation Retinopathy (RadiRet Study),2012-08-03,NA,ISRCTN number,results
2011-004393-28,"""Effectiveness of leech therapy in treatment of chronic low back pain - a randomised controlled clinical study""",2011-12-09,NA,US NCT number,protocol
2011-004393-28,"""Effectiveness of leech therapy in treatment of chronic low back pain - a randomised controlled clinical study""",2011-12-09,NA,other,protocol
2011-004393-28,"""Effectiveness of leech therapy in treatment of chronic low back pain - a randomised controlled clinical study""",2011-12-09,NA,US NCT number,results
2011-004393-28,"""Effectiveness of leech therapy in treatment of chronic low back pain - a randomised controlled clinical study""",2011-12-09,NA,ISRCTN number,results
2011-004094-93,"Double-blind, three-way cross-over, placebo controlled study to assess the efficacy, safety and mechanisms of treatment with rupatadine 20 and 40mg in cold contact urticaria (CCU)",2012-01-27,NA,US NCT number,protocol
2011-004094-93,"Double-blind, three-way cross-over, placebo controlled study to assess the efficacy, safety and mechanisms of treatment with rupatadine 20 and 40mg in cold contact urticaria (CCU)",2012-01-27,NA,other,protocol
2011-004094-93,"Double-blind, three-way cross-over, placebo controlled study to assess the efficacy, safety and mechanisms of treatment with rupatadine 20 and 40mg in cold contact urticaria (CCU)",2012-01-27,NA,US NCT number,results
2011-004094-93,"Double-blind, three-way cross-over, placebo controlled study to assess the efficacy, safety and mechanisms of treatment with rupatadine 20 and 40mg in cold contact urticaria (CCU)",2012-01-27,NA,ISRCTN number,results
2011-003746-41,"A two-center, double blind, placebo-controlled study in parallel design to assess the efficacy and safety of 150 and 300 mg omalizumab in subjects with antihistamine-resistant cold contact urticaria (CCU)",2011-11-28,NA,US NCT number,protocol
2011-003746-41,"A two-center, double blind, placebo-controlled study in parallel design to assess the efficacy and safety of 150 and 300 mg omalizumab in subjects with antihistamine-resistant cold contact urticaria (CCU)",2011-11-28,NA,other,protocol
2011-003746-41,"A two-center, double blind, placebo-controlled study in parallel design to assess the efficacy and safety of 150 and 300 mg omalizumab in subjects with antihistamine-resistant cold contact urticaria (CCU)",2011-11-28,NA,US NCT number,results
2011-003746-41,"A two-center, double blind, placebo-controlled study in parallel design to assess the efficacy and safety of 150 and 300 mg omalizumab in subjects with antihistamine-resistant cold contact urticaria (CCU)",2011-11-28,NA,ISRCTN number,results
2011-002785-20,Efficacy of Vitamin D Supplementation in relapsing-remitting Multiple Sclerosis,2011-08-11,NA,US NCT number,protocol
2011-002785-20,Efficacy of Vitamin D Supplementation in relapsing-remitting Multiple Sclerosis,2011-08-11,NA,other,protocol
2011-002785-20,Efficacy of Vitamin D Supplementation in relapsing-remitting Multiple Sclerosis,2011-08-11,NA,US NCT number,results
2011-002785-20,Efficacy of Vitamin D Supplementation in relapsing-remitting Multiple Sclerosis,2011-08-11,NA,ISRCTN number,results
2011-001689-16,"Prospective randomized, double-blind, and placebo-controlled clinical trial with hydroxychloroquine (HCQ) in patients with erosive-inflammatory osteoarthritis (OA) of the finger joints (acronym: OA TREAT)",2013-02-04,NA,US NCT number,protocol
2011-001689-16,"Prospective randomized, double-blind, and placebo-controlled clinical trial with hydroxychloroquine (HCQ) in patients with erosive-inflammatory osteoarthritis (OA) of the finger joints (acronym: OA TREAT)",2013-02-04,German Register of Clinical Trials DRKS00000796,other,protocol
2011-001689-16,"Prospective randomized, double-blind, and placebo-controlled clinical trial with hydroxychloroquine (HCQ) in patients with erosive-inflammatory osteoarthritis (OA) of the finger joints (acronym: OA TREAT)",2013-02-04,NA,US NCT number,results
2011-001689-16,"Prospective randomized, double-blind, and placebo-controlled clinical trial with hydroxychloroquine (HCQ) in patients with erosive-inflammatory osteoarthritis (OA) of the finger joints (acronym: OA TREAT)",2013-02-04,ISRCTN46445413,ISRCTN number,results
2011-001474-25,"A single-centre, single arm, open-label, exploratory trial of Interleukin-2 administered subcutaneously as neo-adjuvant treatment prior to sentinel lymph node biopsy(SLNB)/complete lymph node dissection (CLND) in subjects with stage III malignant melanoma",2011-09-20,NA,US NCT number,protocol
2011-001474-25,"A single-centre, single arm, open-label, exploratory trial of Interleukin-2 administered subcutaneously as neo-adjuvant treatment prior to sentinel lymph node biopsy(SLNB)/complete lymph node dissection (CLND) in subjects with stage III malignant melanoma",2011-09-20,NA,other,protocol
2011-001474-25,"A single-centre, single arm, open-label, exploratory trial of Interleukin-2 administered subcutaneously as neo-adjuvant treatment prior to sentinel lymph node biopsy(SLNB)/complete lymph node dissection (CLND) in subjects with stage III malignant melanoma",2011-09-20,NA,US NCT number,results
2011-001474-25,"A single-centre, single arm, open-label, exploratory trial of Interleukin-2 administered subcutaneously as neo-adjuvant treatment prior to sentinel lymph node biopsy(SLNB)/complete lymph node dissection (CLND) in subjects with stage III malignant melanoma",2011-09-20,NA,ISRCTN number,results
2011-001403-12,Carbon Dioxide for the Treatment of Febrile Seizures,2011-10-28,NA,US NCT number,protocol
2011-001403-12,Carbon Dioxide for the Treatment of Febrile Seizures,2011-10-28,NA,other,protocol
2011-001403-12,Carbon Dioxide for the Treatment of Febrile Seizures,2011-10-28,NCT01370044,US NCT number,results
2011-001403-12,Carbon Dioxide for the Treatment of Febrile Seizures,2011-10-28,NA,ISRCTN number,results
2011-001398-19,D-cycloserine augmented exposure therapy in patients with agoraphobia,2011-05-30,NA,US NCT number,protocol
2011-001398-19,D-cycloserine augmented exposure therapy in patients with agoraphobia,2011-05-30,NA,other,protocol
2011-001398-19,D-cycloserine augmented exposure therapy in patients with agoraphobia,2011-05-30,NCT01928823,US NCT number,results
2011-001398-19,D-cycloserine augmented exposure therapy in patients with agoraphobia,2011-05-30,NA,ISRCTN number,results
2011-001232-27,Characterization of human peripheral and intestinal T-cell responses after mucosal antigen exposure: induction of tolerance vs. immunization by oral administration of KLH,2011-12-27,NA,US NCT number,protocol
2011-001232-27,Characterization of human peripheral and intestinal T-cell responses after mucosal antigen exposure: induction of tolerance vs. immunization by oral administration of KLH,2011-12-27,NA,other,protocol
2011-001232-27,Characterization of human peripheral and intestinal T-cell responses after mucosal antigen exposure: induction of tolerance vs. immunization by oral administration of KLH,2011-12-27,NA,US NCT number,results
2011-001232-27,Characterization of human peripheral and intestinal T-cell responses after mucosal antigen exposure: induction of tolerance vs. immunization by oral administration of KLH,2011-12-27,NA,ISRCTN number,results
2011-001027-20,"A Multi-Centre, Placebo-Controlled Phase II Study of Canakinumab for the Treatment of Adult-onset Still's disease (AOSD) including an open-label long term extension.",2011-12-05,NA,US NCT number,protocol
2011-001027-20,"A Multi-Centre, Placebo-Controlled Phase II Study of Canakinumab for the Treatment of Adult-onset Still's disease (AOSD) including an open-label long term extension.",2011-12-05,NA,other,protocol
2011-001027-20,"A Multi-Centre, Placebo-Controlled Phase II Study of Canakinumab for the Treatment of Adult-onset Still's disease (AOSD) including an open-label long term extension.",2011-12-05,NCT02204293,US NCT number,results
2011-001027-20,"A Multi-Centre, Placebo-Controlled Phase II Study of Canakinumab for the Treatment of Adult-onset Still's disease (AOSD) including an open-label long term extension.",2011-12-05,NA,ISRCTN number,results
2011-000844-56,"UsTekinumab for the treatment Of Patients with active Ankylosing Spondylitis (TOPAS) – a 28-week, prospective, open-label, proof-of-concept study",2011-06-09,NCT01330901,US NCT number,protocol
2011-000844-56,"UsTekinumab for the treatment Of Patients with active Ankylosing Spondylitis (TOPAS) – a 28-week, prospective, open-label, proof-of-concept study",2011-06-09,NA,other,protocol
2011-000844-56,"UsTekinumab for the treatment Of Patients with active Ankylosing Spondylitis (TOPAS) – a 28-week, prospective, open-label, proof-of-concept study",2011-06-09,NA,US NCT number,results
2011-000844-56,"UsTekinumab for the treatment Of Patients with active Ankylosing Spondylitis (TOPAS) – a 28-week, prospective, open-label, proof-of-concept study",2011-06-09,NA,ISRCTN number,results
2010-024379-15,"Pazopanib with 5-Flourouracil, Leucovorin and Oxaliplatin (FLO) as 1st-line treatment in advanced gastric cancer; a randomized Phase II study. - The PaFLO study.",2011-07-20,NA,US NCT number,protocol
2010-024379-15,"Pazopanib with 5-Flourouracil, Leucovorin and Oxaliplatin (FLO) as 1st-line treatment in advanced gastric cancer; a randomized Phase II study. - The PaFLO study.",2011-07-20,NA,other,protocol
2010-024379-15,"Pazopanib with 5-Flourouracil, Leucovorin and Oxaliplatin (FLO) as 1st-line treatment in advanced gastric cancer; a randomized Phase II study. - The PaFLO study.",2011-07-20,NCT01503372,US NCT number,results
2010-024379-15,"Pazopanib with 5-Flourouracil, Leucovorin and Oxaliplatin (FLO) as 1st-line treatment in advanced gastric cancer; a randomized Phase II study. - The PaFLO study.",2011-07-20,NA,ISRCTN number,results
2010-024156-28,"A multi-center, double-blind, placebo-controlled phase II study of the efficacy and safety of canakinumab in subjects with Schnitzler syndrome",2011-04-07,NA,US NCT number,protocol
2010-024156-28,"A multi-center, double-blind, placebo-controlled phase II study of the efficacy and safety of canakinumab in subjects with Schnitzler syndrome",2011-04-07,NA,other,protocol
2010-024156-28,"A multi-center, double-blind, placebo-controlled phase II study of the efficacy and safety of canakinumab in subjects with Schnitzler syndrome",2011-04-07,NA,US NCT number,results
2010-024156-28,"A multi-center, double-blind, placebo-controlled phase II study of the efficacy and safety of canakinumab in subjects with Schnitzler syndrome",2011-04-07,NA,ISRCTN number,results
2010-023941-31,Effects of EGCG (Epigallocatechin Gallate) in Chorea Huntington,2011-03-17,NA,US NCT number,protocol
2010-023941-31,Effects of EGCG (Epigallocatechin Gallate) in Chorea Huntington,2011-03-17,NA,other,protocol
2010-023941-31,Effects of EGCG (Epigallocatechin Gallate) in Chorea Huntington,2011-03-17,NCT01357681,US NCT number,results
2010-023941-31,Effects of EGCG (Epigallocatechin Gallate) in Chorea Huntington,2011-03-17,NA,ISRCTN number,results
2010-023044-32,Mechanisms of action in exposure therapy: Decoding the neural basis of fear extinction and its pharmacological modulation in patients with panic disorder,2011-03-21,NA,US NCT number,protocol
2010-023044-32,Mechanisms of action in exposure therapy: Decoding the neural basis of fear extinction and its pharmacological modulation in patients with panic disorder,2011-03-21,NA,other,protocol
2010-023044-32,Mechanisms of action in exposure therapy: Decoding the neural basis of fear extinction and its pharmacological modulation in patients with panic disorder,2011-03-21,NA,US NCT number,results
2010-023044-32,Mechanisms of action in exposure therapy: Decoding the neural basis of fear extinction and its pharmacological modulation in patients with panic disorder,2011-03-21,NA,ISRCTN number,results
2010-021861-62,Baclofen for the Treatment of Alcohol Dependence,2010-09-16,NA,US NCT number,protocol
2010-021861-62,Baclofen for the Treatment of Alcohol Dependence,2010-09-16,NA,other,protocol
2010-021861-62,Baclofen for the Treatment of Alcohol Dependence,2010-09-16,NCT01266655,US NCT number,results
2010-021861-62,Baclofen for the Treatment of Alcohol Dependence,2010-09-16,NA,ISRCTN number,results
2010-021775-80,Explorative Untersuchung zum Einfluss der Vitamin D-vermitteltenr Modulation der initialen subkutanen Gräserpollen-spezifischen Immuntherapie bei Allergikern mit Gräserpollen-induzierter Rhinokonjunktivitis mit/ohne allergischem Asthma,2010-09-14,NA,US NCT number,protocol
2010-021775-80,Explorative Untersuchung zum Einfluss der Vitamin D-vermitteltenr Modulation der initialen subkutanen Gräserpollen-spezifischen Immuntherapie bei Allergikern mit Gräserpollen-induzierter Rhinokonjunktivitis mit/ohne allergischem Asthma,2010-09-14,NA,other,protocol
2010-021775-80,Explorative Untersuchung zum Einfluss der Vitamin D-vermitteltenr Modulation der initialen subkutanen Gräserpollen-spezifischen Immuntherapie bei Allergikern mit Gräserpollen-induzierter Rhinokonjunktivitis mit/ohne allergischem Asthma,2010-09-14,NCT01466465,US NCT number,results
2010-021775-80,Explorative Untersuchung zum Einfluss der Vitamin D-vermitteltenr Modulation der initialen subkutanen Gräserpollen-spezifischen Immuntherapie bei Allergikern mit Gräserpollen-induzierter Rhinokonjunktivitis mit/ohne allergischem Asthma,2010-09-14,NA,ISRCTN number,results
2010-021604-16,"A double-blind, randomized, placebo controlled study to evaluate the effectiveness of etoricoxib as an additive analgesic to epidural analgesia in colon or rectum fast-track surgery",2010-10-13,NA,US NCT number,protocol
2010-021604-16,"A double-blind, randomized, placebo controlled study to evaluate the effectiveness of etoricoxib as an additive analgesic to epidural analgesia in colon or rectum fast-track surgery",2010-10-13,NA,other,protocol
2010-021604-16,"A double-blind, randomized, placebo controlled study to evaluate the effectiveness of etoricoxib as an additive analgesic to epidural analgesia in colon or rectum fast-track surgery",2010-10-13,NA,US NCT number,results
2010-021604-16,"A double-blind, randomized, placebo controlled study to evaluate the effectiveness of etoricoxib as an additive analgesic to epidural analgesia in colon or rectum fast-track surgery",2010-10-13,NA,ISRCTN number,results
2010-021275-92,"Single center, open-label, cross-over study in maintenace kidney allograft recipients to evaluate the bioavailability of CellCept® (Mycophenolate mofetil) in comparison to Myfortic® (Enteric- coated mycophenolate sodium) in combination with a proton pump inhibitor without co-medication.",2010-10-01,NA,US NCT number,protocol
2010-021275-92,"Single center, open-label, cross-over study in maintenace kidney allograft recipients to evaluate the bioavailability of CellCept® (Mycophenolate mofetil) in comparison to Myfortic® (Enteric- coated mycophenolate sodium) in combination with a proton pump inhibitor without co-medication.",2010-10-01,NA,other,protocol
2010-021275-92,"Single center, open-label, cross-over study in maintenace kidney allograft recipients to evaluate the bioavailability of CellCept® (Mycophenolate mofetil) in comparison to Myfortic® (Enteric- coated mycophenolate sodium) in combination with a proton pump inhibitor without co-medication.",2010-10-01,NA,US NCT number,results
2010-021275-92,"Single center, open-label, cross-over study in maintenace kidney allograft recipients to evaluate the bioavailability of CellCept® (Mycophenolate mofetil) in comparison to Myfortic® (Enteric- coated mycophenolate sodium) in combination with a proton pump inhibitor without co-medication.",2010-10-01,NA,ISRCTN number,results
2010-021001-21,"An exploratory, randomised, double-blind, placebo controlled crossover study to assess the efficacy of 20 mg Rupatadine on the treatment of mastocytosis symptoms",2010-06-16,NA,US NCT number,protocol
2010-021001-21,"An exploratory, randomised, double-blind, placebo controlled crossover study to assess the efficacy of 20 mg Rupatadine on the treatment of mastocytosis symptoms",2010-06-16,NA,other,protocol
2010-021001-21,"An exploratory, randomised, double-blind, placebo controlled crossover study to assess the efficacy of 20 mg Rupatadine on the treatment of mastocytosis symptoms",2010-06-16,NA,US NCT number,results
2010-021001-21,"An exploratory, randomised, double-blind, placebo controlled crossover study to assess the efficacy of 20 mg Rupatadine on the treatment of mastocytosis symptoms",2010-06-16,NA,ISRCTN number,results
2010-020480-21,Feasibility and efficacy of adjuvant gemcitabine chemotherapy after liver transplantation for proximal bile duct cancer,2010-07-28,NA,US NCT number,protocol
2010-020480-21,Feasibility and efficacy of adjuvant gemcitabine chemotherapy after liver transplantation for proximal bile duct cancer,2010-07-28,NA,other,protocol
2010-020480-21,Feasibility and efficacy of adjuvant gemcitabine chemotherapy after liver transplantation for proximal bile duct cancer,2010-07-28,NA,US NCT number,results
2010-020480-21,Feasibility and efficacy of adjuvant gemcitabine chemotherapy after liver transplantation for proximal bile duct cancer,2010-07-28,NA,ISRCTN number,results
2010-020433-13,"Eine 8-wöchige, monozentrische, baseline-kontrollierte offene Studie zur Evaluierung des Einflusses einer “Single pill combination” auf die Blutdrucksenkung bei Patienten mit nicht-kontrolliertem Blutdruck unter freier Therapie",2010-11-26,NA,US NCT number,protocol
2010-020433-13,"Eine 8-wöchige, monozentrische, baseline-kontrollierte offene Studie zur Evaluierung des Einflusses einer “Single pill combination” auf die Blutdrucksenkung bei Patienten mit nicht-kontrolliertem Blutdruck unter freier Therapie",2010-11-26,NA,other,protocol
2010-020433-13,"Eine 8-wöchige, monozentrische, baseline-kontrollierte offene Studie zur Evaluierung des Einflusses einer “Single pill combination” auf die Blutdrucksenkung bei Patienten mit nicht-kontrolliertem Blutdruck unter freier Therapie",2010-11-26,NA,US NCT number,results
2010-020433-13,"Eine 8-wöchige, monozentrische, baseline-kontrollierte offene Studie zur Evaluierung des Einflusses einer “Single pill combination” auf die Blutdrucksenkung bei Patienten mit nicht-kontrolliertem Blutdruck unter freier Therapie",2010-11-26,NA,ISRCTN number,results
2010-020063-21,"“A 20-week open-label study to assess the efficacy and safety of single doses of Ilaris® (Canakinumab, ACZ885) in patients with active, refractory urticarial vasculitis”",2010-05-21,NA,US NCT number,protocol
2010-020063-21,"“A 20-week open-label study to assess the efficacy and safety of single doses of Ilaris® (Canakinumab, ACZ885) in patients with active, refractory urticarial vasculitis”",2010-05-21,NA,other,protocol
2010-020063-21,"“A 20-week open-label study to assess the efficacy and safety of single doses of Ilaris® (Canakinumab, ACZ885) in patients with active, refractory urticarial vasculitis”",2010-05-21,NA,US NCT number,results
2010-020063-21,"“A 20-week open-label study to assess the efficacy and safety of single doses of Ilaris® (Canakinumab, ACZ885) in patients with active, refractory urticarial vasculitis”",2010-05-21,NA,ISRCTN number,results
2010-019347-18,"Randomized Phase II Study of two different Regimens of TPF Induction Chemotherapy Regimen followed by Radiation Therapy plus cetuximab (TPF-CET-HART) vs. HART and Cisplatinum, 5-FU (PF-HART) in Patients with Locally Advanced Unresectable Squamous Cell Carcinomas of the Head and Neck.",2010-04-20,NA,US NCT number,protocol
2010-019347-18,"Randomized Phase II Study of two different Regimens of TPF Induction Chemotherapy Regimen followed by Radiation Therapy plus cetuximab (TPF-CET-HART) vs. HART and Cisplatinum, 5-FU (PF-HART) in Patients with Locally Advanced Unresectable Squamous Cell Carcinomas of the Head and Neck.",2010-04-20,NA,other,protocol
2010-019347-18,"Randomized Phase II Study of two different Regimens of TPF Induction Chemotherapy Regimen followed by Radiation Therapy plus cetuximab (TPF-CET-HART) vs. HART and Cisplatinum, 5-FU (PF-HART) in Patients with Locally Advanced Unresectable Squamous Cell Carcinomas of the Head and Neck.",2010-04-20,NA,US NCT number,results
2010-019347-18,"Randomized Phase II Study of two different Regimens of TPF Induction Chemotherapy Regimen followed by Radiation Therapy plus cetuximab (TPF-CET-HART) vs. HART and Cisplatinum, 5-FU (PF-HART) in Patients with Locally Advanced Unresectable Squamous Cell Carcinomas of the Head and Neck.",2010-04-20,NA,ISRCTN number,results
2010-019344-39,"Double-blind, triple cross-over, placebo-controlled study to assess the efficacy, mechanisms, and safety of treatment with bilastine 20 mg, 40 mg and 80 mg in cold contact urticaria (CCU) Compound: Bilastine",2010-04-15,NA,US NCT number,protocol
2010-019344-39,"Double-blind, triple cross-over, placebo-controlled study to assess the efficacy, mechanisms, and safety of treatment with bilastine 20 mg, 40 mg and 80 mg in cold contact urticaria (CCU) Compound: Bilastine",2010-04-15,NA,other,protocol
2010-019344-39,"Double-blind, triple cross-over, placebo-controlled study to assess the efficacy, mechanisms, and safety of treatment with bilastine 20 mg, 40 mg and 80 mg in cold contact urticaria (CCU) Compound: Bilastine",2010-04-15,NA,US NCT number,results
2010-019344-39,"Double-blind, triple cross-over, placebo-controlled study to assess the efficacy, mechanisms, and safety of treatment with bilastine 20 mg, 40 mg and 80 mg in cold contact urticaria (CCU) Compound: Bilastine",2010-04-15,NA,ISRCTN number,results
2010-019218-26,Offene Verträglichkeitsstudie zur Evaluierung einer subkutanen Injektionslösung von 100 mg Anakinra in Kombination mit Riluzol bei Patienten mit Amyotropher Lateralsklerose (ALS).,2010-12-22,NA,US NCT number,protocol
2010-019218-26,Offene Verträglichkeitsstudie zur Evaluierung einer subkutanen Injektionslösung von 100 mg Anakinra in Kombination mit Riluzol bei Patienten mit Amyotropher Lateralsklerose (ALS).,2010-12-22,NA,other,protocol
2010-019218-26,Offene Verträglichkeitsstudie zur Evaluierung einer subkutanen Injektionslösung von 100 mg Anakinra in Kombination mit Riluzol bei Patienten mit Amyotropher Lateralsklerose (ALS).,2010-12-22,NA,US NCT number,results
2010-019218-26,Offene Verträglichkeitsstudie zur Evaluierung einer subkutanen Injektionslösung von 100 mg Anakinra in Kombination mit Riluzol bei Patienten mit Amyotropher Lateralsklerose (ALS).,2010-12-22,NA,ISRCTN number,results
2010-018291-25,"INVESTIGATOR-INITIATED, DOUBLE BLIND, TWO-ARMED, PLACEBO-CONTROLLED, RANDOMIZED CLINICAL TRIAL WITH AN OPEN-LABEL EXTENSION PHASE, TO INVESTIGATE EFFICACY OF 5% MINOXIDIL TOPICAL FOAM TWICE DAILY IN MEN WITH ANDROGENETIC ALOPECIA IN THE TEMPLE AND VERTEX REGION CONCERNING HAIR VOLUME OVER 24 / 104 WEEKS",2010-06-24,NCT01319370,US NCT number,protocol
2010-018291-25,"INVESTIGATOR-INITIATED, DOUBLE BLIND, TWO-ARMED, PLACEBO-CONTROLLED, RANDOMIZED CLINICAL TRIAL WITH AN OPEN-LABEL EXTENSION PHASE, TO INVESTIGATE EFFICACY OF 5% MINOXIDIL TOPICAL FOAM TWICE DAILY IN MEN WITH ANDROGENETIC ALOPECIA IN THE TEMPLE AND VERTEX REGION CONCERNING HAIR VOLUME OVER 24 / 104 WEEKS",2010-06-24,NA,other,protocol
2010-018291-25,"INVESTIGATOR-INITIATED, DOUBLE BLIND, TWO-ARMED, PLACEBO-CONTROLLED, RANDOMIZED CLINICAL TRIAL WITH AN OPEN-LABEL EXTENSION PHASE, TO INVESTIGATE EFFICACY OF 5% MINOXIDIL TOPICAL FOAM TWICE DAILY IN MEN WITH ANDROGENETIC ALOPECIA IN THE TEMPLE AND VERTEX REGION CONCERNING HAIR VOLUME OVER 24 / 104 WEEKS",2010-06-24,NA,US NCT number,results
2010-018291-25,"INVESTIGATOR-INITIATED, DOUBLE BLIND, TWO-ARMED, PLACEBO-CONTROLLED, RANDOMIZED CLINICAL TRIAL WITH AN OPEN-LABEL EXTENSION PHASE, TO INVESTIGATE EFFICACY OF 5% MINOXIDIL TOPICAL FOAM TWICE DAILY IN MEN WITH ANDROGENETIC ALOPECIA IN THE TEMPLE AND VERTEX REGION CONCERNING HAIR VOLUME OVER 24 / 104 WEEKS",2010-06-24,NA,ISRCTN number,results
2009-017739-17,Assessment of myocardial viability in MRI: Comparison of Late Gadolinium Enhancement with Gadovist vs. Magnevist vs. Dotarem,2010-01-04,NA,US NCT number,protocol
2009-017739-17,Assessment of myocardial viability in MRI: Comparison of Late Gadolinium Enhancement with Gadovist vs. Magnevist vs. Dotarem,2010-01-04,NA,other,protocol
2009-017739-17,Assessment of myocardial viability in MRI: Comparison of Late Gadolinium Enhancement with Gadovist vs. Magnevist vs. Dotarem,2010-01-04,NA,US NCT number,results
2009-017739-17,Assessment of myocardial viability in MRI: Comparison of Late Gadolinium Enhancement with Gadovist vs. Magnevist vs. Dotarem,2010-01-04,NA,ISRCTN number,results
2009-017581-22,Cognitive impairment in bipolar disorder treated with aripiprazole,2010-12-07,NA,US NCT number,protocol
2009-017581-22,Cognitive impairment in bipolar disorder treated with aripiprazole,2010-12-07,NA,other,protocol
2009-017581-22,Cognitive impairment in bipolar disorder treated with aripiprazole,2010-12-07,NA,US NCT number,results
2009-017581-22,Cognitive impairment in bipolar disorder treated with aripiprazole,2010-12-07,NA,ISRCTN number,results
2009-017458-11,"Homeopathy for Depression: a randomized, four-armed, partial double-blind study.",2010-03-24,NA,US NCT number,protocol
2009-017458-11,"Homeopathy for Depression: a randomized, four-armed, partial double-blind study.",2010-03-24,NA,other,protocol
2009-017458-11,"Homeopathy for Depression: a randomized, four-armed, partial double-blind study.",2010-03-24,NA,US NCT number,results
2009-017458-11,"Homeopathy for Depression: a randomized, four-armed, partial double-blind study.",2010-03-24,NA,ISRCTN number,results
2009-016907-41,"Investigation of nociceptive and antinociceptive mechanisms under anesthesia using fMRI, EEG and noxious reflexes",2012-08-13,NA,US NCT number,protocol
2009-016907-41,"Investigation of nociceptive and antinociceptive mechanisms under anesthesia using fMRI, EEG and noxious reflexes",2012-08-13,NA,other,protocol
2009-016907-41,"Investigation of nociceptive and antinociceptive mechanisms under anesthesia using fMRI, EEG and noxious reflexes",2012-08-13,NA,US NCT number,results
2009-016907-41,"Investigation of nociceptive and antinociceptive mechanisms under anesthesia using fMRI, EEG and noxious reflexes",2012-08-13,NA,ISRCTN number,results
2009-016482-28,SUNIMUD - Sunphenon EGCg (Epigallocatechin-Gallate) in Duchenne Muscular Dystrophy,2010-03-15,NA,US NCT number,protocol
2009-016482-28,SUNIMUD - Sunphenon EGCg (Epigallocatechin-Gallate) in Duchenne Muscular Dystrophy,2010-03-15,NA,other,protocol
2009-016482-28,SUNIMUD - Sunphenon EGCg (Epigallocatechin-Gallate) in Duchenne Muscular Dystrophy,2010-03-15,NA,US NCT number,results
2009-016482-28,SUNIMUD - Sunphenon EGCg (Epigallocatechin-Gallate) in Duchenne Muscular Dystrophy,2010-03-15,NA,ISRCTN number,results
2009-016043-19,Impact of a balanced infusion solution compound of 50% cristalloid and 50% colloid versus a unbalanced infusion solution of 100% cristalloid within a goal-directed hemodynamic protocol on acid-base balance in patients undergoing elective hip replacement surgery,2010-02-09,NA,US NCT number,protocol
2009-016043-19,Impact of a balanced infusion solution compound of 50% cristalloid and 50% colloid versus a unbalanced infusion solution of 100% cristalloid within a goal-directed hemodynamic protocol on acid-base balance in patients undergoing elective hip replacement surgery,2010-02-09,NA,other,protocol
2009-016043-19,Impact of a balanced infusion solution compound of 50% cristalloid and 50% colloid versus a unbalanced infusion solution of 100% cristalloid within a goal-directed hemodynamic protocol on acid-base balance in patients undergoing elective hip replacement surgery,2010-02-09,NA,US NCT number,results
2009-016043-19,Impact of a balanced infusion solution compound of 50% cristalloid and 50% colloid versus a unbalanced infusion solution of 100% cristalloid within a goal-directed hemodynamic protocol on acid-base balance in patients undergoing elective hip replacement surgery,2010-02-09,NA,ISRCTN number,results
2009-015319-41,Trichuris suis Oozyten (TSO®) in remittent-recurrent Multiple Sclerosis (MS) and Clinically Isolated Syndrom (CIS),2011-02-04,NA,US NCT number,protocol
2009-015319-41,Trichuris suis Oozyten (TSO®) in remittent-recurrent Multiple Sclerosis (MS) and Clinically Isolated Syndrom (CIS),2011-02-04,NA,other,protocol
2009-015319-41,Trichuris suis Oozyten (TSO®) in remittent-recurrent Multiple Sclerosis (MS) and Clinically Isolated Syndrom (CIS),2011-02-04,NA,US NCT number,results
2009-015319-41,Trichuris suis Oozyten (TSO®) in remittent-recurrent Multiple Sclerosis (MS) and Clinically Isolated Syndrom (CIS),2011-02-04,NA,ISRCTN number,results
2009-014300-55,"Phase II study on the combined systemic and intrathecal chemotherapy with methotrexate, ifosfamide and liposomal cytarabine (DepoCyte®) in patients with HER-2/neu-negative breast cancer and leptomeningeal spread",2009-12-10,NA,US NCT number,protocol
2009-014300-55,"Phase II study on the combined systemic and intrathecal chemotherapy with methotrexate, ifosfamide and liposomal cytarabine (DepoCyte®) in patients with HER-2/neu-negative breast cancer and leptomeningeal spread",2009-12-10,NA,other,protocol
2009-014300-55,"Phase II study on the combined systemic and intrathecal chemotherapy with methotrexate, ifosfamide and liposomal cytarabine (DepoCyte®) in patients with HER-2/neu-negative breast cancer and leptomeningeal spread",2009-12-10,NA,US NCT number,results
2009-014300-55,"Phase II study on the combined systemic and intrathecal chemotherapy with methotrexate, ifosfamide and liposomal cytarabine (DepoCyte®) in patients with HER-2/neu-negative breast cancer and leptomeningeal spread",2009-12-10,NA,ISRCTN number,results
2009-013976-38,Phase II Trial of low-dose Sandimmun Optoral ® (Cyclosporine A) for the treatment of primary Sjögren's syndrome (pSS),2009-12-07,NA,US NCT number,protocol
2009-013976-38,Phase II Trial of low-dose Sandimmun Optoral ® (Cyclosporine A) for the treatment of primary Sjögren's syndrome (pSS),2009-12-07,NA,other,protocol
